,id,productgroup,main_text,manufacturer,cost
18,37681313,BICYCLES,CUBE ACCESS WLS GTC SL REEFBLUE'N'FLASHRED,CUBE,182
19,62219368,CONTACT LENSES,1-DAY ACUVUE MOIST ASTIGMATISM90 STÜCKUNISEX,J&J,107
20,65823116,USB MEMORY,LEXAR JUMPDRIVE USB 3.0 32GB,LEXAR,134
21,66005355,USB MEMORY,"KINGSTON DATATRAVELER 101 G3, USB 3.0, 64GB, SCHWARZ",KINGSTON TECHNOLOGY,123
22,66932979,BICYCLES,721769  CROSS-TREKKING 28 CROSS-TREKKING 28 GRAU 1,,173
23,60612009,WASHINGMACHINES,WKF 110 WPS  PACKGR:1,MIELE,163
24,17614264,CONTACT LENSES,DAILIES AQUACOMFORT PLUS TORIC TAGESLINSEN 30 STUECK / BC 8.8 MM / DIA 14.4 / CYL -0.75 / ACHSE 10 / -4.75 DIOPTRIEN,ALCON,128
25,37700823,BICYCLES,VERMONT BRENTWOOD DAMEN WEISS,VERMONT,127
26,66875915,BICYCLES,641033  CITY 26 CITY 26 BEIGEFARBEN 42,,128
27,62886393,USB MEMORY,USB 64 GB +FILE RESCUE/X-PICT STORY SOFTWARES 2YEARS WARRANTY,SONY,128
28,52078787,WASHINGMACHINES,WMG 820 WPS D LICHTWEISS  ,MIELE,175
29,42270172,BICYCLES,FUJI TRACK BLACK 61 CM,FUJI,160
30,43522395,USB MEMORY,RAINBOW LINE 16GB USB DRIVE 2.0  SCHWARZ SPEICHERSTICKS 3502470,INTENSO,102
31,26306304,WASHINGMACHINES,WM 14 W 590,SIEMENS,136
32,20393031,CONTACT LENSES,"MANGA & ANIME KONTAKTLINSE RED NIGHTS BY ARICONA ? DECKENDE, FARBIGE JAHRESLINSEN FUER DUNKLE UND HELLE AUGENFARBEN OHNE STAERKE, FARBLINSEN FUER COSPLAY, KARNEVAL, FASCHING, HALLO",ARICONA,183
33,40697744,USB MEMORY,USB-STICK  8GB KODAK  K100  USB 2.0,EMTEC,136
34,29670357,USB MEMORY,LEEF IBRIDGE WHITE 64GB USB 2.0 AUF LIGHTNING,,185
35,61120606,CONTACT LENSES,1-DAY ACUVUE MOIST 30ER BOX,,108
36,48595164,WASHINGMACHINES,BOSCH WVH 28440,BOSCH ROB.HAUSGERAETE GMBH,149
37,17878936,CONTACT LENSES,"ACUVUE 1-DAY MOIST FOR ASTIGMATISM TAGESLINSEN WEICH, 30 STUECK / BC 8.5 MM / DIA 14.5 / CYL -0.75 / ACHSE 10 / -0.25 DIOPTRIEN",ACUVUE,152
38,37701314,BICYCLES,VOTEC VX PRO - TOUREN/TRAIL FULLSUSPENSION 29 - DARK GREY GLOSSY/BLACK MATTE,VOTEC,155
39,25050160,USB MEMORY,"MEM TRANSCEND 32GB JETFLASH 730 USB 3.0, WEIß",TRANSCEND,173
40,52853803,USB MEMORY,SANDISK USB-STICK CRUZER BLADE SDCZ,SOENNECKEN / LS: 1,176
41,37655747,BICYCLES,FIXIE INC. FLOATER GREY,FIXIE INC.,131
42,25637092,BICYCLES,28 FAHRRAD FIXIE SINGLESPEED FLIP FLOP GRÜN  56 cm,SCHALOW & KROH GMBH,127
43,37714358,BICYCLES,KREIDLER RAISE RT4 V2 TRAPEZ DAMEN ACERA 27G ANTHRAZIT GLAENZEND,KREIDLER,166
44,28948502,USB MEMORY,VER 16GB STORE N GO USB BLACK*,VERBATIM,135
45,29604640,CONTACT LENSES,1INHALT: 2 x 6er PureVision2,,138
46,22673099,WASHINGMACHINES,3BAUWAPLATINUM881  WA PLATINUM 881 WASCHAUTOMAT,BAUKNECHT,120
47,60980436,BICYCLES,PROPHETE WAVE 20 EINSTEIGER 6.0 O O O  933328,SI-ZWEIRAD-VERTRIEBS GMBH,173
48,65777302,USB MEMORY,SANDISK CRUZER FIT16GB,SANDISK,134
49,62208848,CONTACT LENSES,FRESHLOOK COLORBLENDS2 STÜCKUNISEX,CIBA,103
50,72350493,CONTACT LENSES,CONTACTLINSEN SWISSLENS BORELIS MULTIFOKAL SL6,SWISSLENS,107
51,58019003,BICYCLES,Alu City  Fahrrad3-Gang  26er 26er,MIFA MITTELDEUTSCHE,106
52,26470526,USB MEMORY,SAN CRUZER BLADE 64GB,HAMA GMBH & CO.KG,106
53,37679604,BICYCLES,FIXIE INC. FLOATER PINK,FIXIE INC.,107
54,62208295,CONTACT LENSES,BIOFINITY TORIC 6ER BOX6 STÜCKUNISEX,COOPER,152
55,42324009,BICYCLES,KID PUKY ZL 16-1 ALU LILLIFEE LILLIFEE EINHEITSGROESSE,PUKY,138
56,16292628,CONTACT LENSES,"MERALENS A0395 GREEN WEREWOLF KONTAKTLINSEN MIT PFLEGEMITTEL MIT BEHAELTER OHNE STAERKE, 1ER PACK (1 X 2 STUECK)",MERALENS,155
57,28379759,USB MEMORY,"TRANSCEND 16GB JETFLASH 790 USB 3.0 > HIGHLIGHTS- KOMPATIBEL ZU SUPERSPEED USB 3.0 & HI-SPEED USB 2.0- KAPPENLOSES DESIGN MIT AUSSCHIEBBAREM USB-KONNEKTOR- LED STATUSANZEIGE- LEICHT UND KOMPAKT- BEFESTIGUNGSOESE- KOSTENLOSER DOWNLOAD DER TRANSCEND ELITE  DATENMANAGEMENT SOFTWARE  > GRUNDEIGENSCHAFTEN - FARBE: SCHWARZ - HOEHE: 63,3 MM - BREITE: 21,2 MM - TIEFE: 10,6 MM - GEWICHT: 4,9 G  > SPEICHER - INTERNER SPEICHER 16 GB - TYP USB STICK STECKPLATZ  > HIGHLIGHTS- KOMPATIBEL ZU SUPERSPEED USB 3.0 & HI-SPEED USB 2.0- KAPPENLOSES DES",,196
58,31370391,USB MEMORY,SPEICHERSTICK USB 3.0 PROBO 16GB KLAVIERLACKDESIGN SCHWARZ,HAMA GMBH & CO. KG,134
59,26458432,WASHINGMACHINES,WAE 28476 EX  HERZLICHEN GLüCKWUNSCH ZU IHRE  WIR MöCHTEN SIE DARAUF HINWEIS  SOLLTE DIES NICHT KORREKT ERFO,BOSCH -W-,115
60,26296264,WASHINGMACHINES,WM14W690,SIEMENS,157
61,63152607,USB MEMORY,HP 8GB USB EM FLASH MEDIA KIT HP 8GB USB EM FLASH MEDIA KIT  IN,HP ENTERPRISE,167
62,51834061,WASHINGMACHINES,WML 15106 MNE+  ,BEKO,105
63,29196994,USB MEMORY,"USB  16GB 11,5/155 ATOM  U3 MSK  PCK:42000 PEH:0 MEH:ST",MUSHKIN,166
64,20540578,USB MEMORY,SILICON POWER SP008GBUF3J50V1T 8GB SPEICHERSTICK USB 3.0 METALLIC GRAU,SILICON POWER,132
65,64205194,USB MEMORY,"USB 3.0 128GB, KEY-RING SIZE, PLUG AND P",CORSAIR,121
66,27815068,USB MEMORY,1489728 VERBATIM USB-STICK 64GB ISTORE N GO,,115
67,26385540,WASHINGMACHINES,WM 14 K 227 WASCHMASCHINE A+++ 7KG SCHON  EFFZ: A+++  7 KG FASSUNGSVERMöGEN  1400 U/MIN,SIEMENS,164
68,43520078,WASHINGMACHINES,WD8AK5400W  WEISS WASCHTROCKNER (STAND),SAMSUNG,164
69,64107680,USB MEMORY,USB UV131 64GB 3.0 GRAY,ADATA,113
70,62219259,CONTACT LENSES,ECCO CHANGE 30 T3 STÜCKUNISEX,MPG&E,136
71,42304671,BICYCLES,COMPEL CITY X HERREN MATTSCHWARZ 60 CM,COMPEL,184
72,57378974,USB MEMORY,"SONY USM16SA1W 16GB USB-SPEICHERSTICK, WHITEUSM16SA1W",,113
73,42302241,BICYCLES,BERGAMONT REVOX 8.0 SCHWARZ/GRAU/WEISS 42 CM,BERGAMONT,158
74,72359868,CONTACT LENSES,ECCO SOFT 4 SEASONS ZOOM T ML (MIT TAUSCH),MPG&E,164
75,37643691,BICYCLES,KONA ROVE ST DARK MINT,KONA,107
76,52856919,CONTACT LENSES,SAFE-GEL 30 - EINZELLINSE,,135
77,25078280,WASHINGMACHINES,HGG WAM BOSCH WAY2854D WEIÃŸ#,BOSCH,141
78,62207280,CONTACT LENSES,EXTREME H2O TORIC6 STÜCKUNISEX,HYDROGEL V,147
79,66605995,BICYCLES,1751817000 KS CYCLING 20  KINDERFAHRRAD 6 GAENGE MOUNTAINBIKE (ATB) 4MASTERS,KS CYCLING,177
80,25405964,BICYCLES,28  ZOLL TREKKINGRAD DAMENFAHRRAD VEGAS 21 GÄNGE FLACHLENKER  53 cm,SCHALOW & KROH GMBH,111
81,25782773,WASHINGMACHINES,KWN 6214 W,ZANKER,149
82,52587493,USB MEMORY,VERBATIM USB-STICK V3 16GB USB 3.0,BRANION LOGSERVE SOE LS1,171
83,49438565,WASHINGMACHINES,112 WASCHVOLLAUTOMAT VT 714D23 HOO ST 0001 0 11826 20160716,,129
84,30751960,USB MEMORY,SANDISK ULTRA USB 3.0 RED  32GB,SANDISK,181
85,26408657,WASHINGMACHINES,WMX 127 WPS  8KG 1600UMIN. A+++  11MX1273,MIELE,159
86,37632638,BICYCLES,LIV ROVE 1,LIV,171
87,26087057,WASHINGMACHINES,SIE WASCHAUTOMAT  WM14Y54D ST  1 WM14Y54D,,145
88,66614560,BICYCLES,1605445002 28  FITNESSBIKE VIKING MESSINA 4 RAHMENGROESSEN,VIKING,123
89,51970027,WASHINGMACHINES,ES-DD 9144 W0-DE  ,SHARP,171
90,21166488,CONTACT LENSES,"ECCO SILICONE COMFORT ZOOM (2X3), BC 8,6, DIA 14,2",,101
91,37689874,BICYCLES,ORTLER PERIGOR HERREN,ORTLER,121
92,63928162,USB MEMORY,"KINGSTON 32GB DT MICRODUO USB 3.0/ MICRO USB OTG, EAN: 740617230789",KINGSTON,120
93,17971399,CONTACT LENSES,"SOFLENS DAILY DISPOSABLE TAGESLINSEN WEICH, 90 STUECK / BC 8.6 MM / DIA 14.2 / +3,25 DIOPTRIEN",BAUSCH & LOMB,126
94,62229672,CONTACT LENSES,PERFECT 30 T UV6 STÜCKUNISEX,MPG&E,151
95,62209596,CONTACT LENSES,PROCLEAR MULTIFOCAL6 STÜCKUNISEX,COOPER,136
96,68196140,USB MEMORY,FLASHDRIVE TRANSCEND JF780 16GB USB3 DUAL CHANNEL SPEED UP TO 140/40MBS,TRANSCEND,118
97,37717411,BICYCLES,CREME CAFERACER UNO MEN 3-SPEED BLACK,CREME,120
98,28046380,USB MEMORY,413830 INTENSO USB-STICK 16GB RAINBOW LINE RAINBOW LINE,INTENSO,128
99,57393437,USB MEMORY,"USB 2.0 STICK 64GB, CRUZER GLIDE",SANDISK,180
