id,productgroup,main_text,manufacturer
28465827,BICYCLES,MAEDCHENFAHRRAD  20  E 1.2,SI ZWEIRAD VERTRIEBS GMBH
21048852,CONTACT LENSES,CL10010 MENICON SOFT 72,MENICON GMBH
46867874,WASHINGMACHINES,WM14U640  WEISS WASCHMASCHINEN (STAND) WM14U640,SIEMENS
43510566,WASHINGMACHINES,WDA 201 WPM  LOTOSWEISS WASCHMASCHINEN (STAND) 11DA2014D /,MIELE
42324945,BICYCLES,GAZELLE PARIS C7+ HE WASSERBLAU 57 CM,GAZELLE
72360981,CONTACT LENSES,CONTACTLINSEN COOPER EIGENMARKE OPTIONS COMFORT ONE DAY (30ER),COOPER EIGENMARKE
37675938,BICYCLES,TESTRAD: SERIOUS ROCKVILLE 26 BLACK/BLUE,SERIOUS
26475495,USB MEMORY,SAN CRUZER EXTREME 16 GB 3.0,HAMA GMBH & CO.KG
42314298,BICYCLES,RALEIGH RUSHHOUR 4.0 XXL HERREN MATTSCHWARZ 70 CM,RALEIGH
18097040,CONTACT LENSES,"ACUVUE 1-DAY MOIST TAGESLINSEN WEICH, 30 STUECK / BC 9.0 MM / DIA 14.2 / +5.50 DIOPTRIEN",ACUVUE
42302994,BICYCLES,GAZELLE TORRENTE PLUS HERREN MATTSCHWARZ 57 CM,GAZELLE
42307170,BICYCLES,MERIDA ONE.TWENTY 9. XT-EDITION SCHWARZ/GRAU 45 CM,MERIDA
42324394,BICYCLES,GAZELLE PUUR_NL+ ECLIPSE BLACK MATT 54 CM,GAZELLE
62220085,CONTACT LENSES,PROCLEAR TORIC6 STÜCKUNISEX,COOPER
62216910,CONTACT LENSES,BIOFINITY TORIC 6ER BOX6 STÜCKUNISEX,COOPER
49058165,WASHINGMACHINES,WW 80 K 6404 SW,SAMSUNG
25413118,WASHINGMACHINES,EXQUISIT WASCHAUTOMAT WA 6110-7  STAND.-VAR.,GGV HANDELSGESMBH&COKG
63092523,USB MEMORY,TRANSMEMORY MX 32GB BLACK USB3.0 USB STICK,TOSHIBA - MASS STORAGE
21252729,WASHINGMACHINES,MIELE WASCHMASCHINE WDA111WCS,MIELE
28833070,WASHINGMACHINES,AEGL73470PMFL,INTERN
66437581,USB MEMORY,STICK USB2.0  8GB KINGSTON DATATRAVELER MICRO DUO OTG RT,KINGSTON
28396755,CONTACT LENSES,"EXTREME H2O TORIC LC (CYL -0,75)  006",JENALENS
65664506,USB MEMORY,Kingston 16GB USB 3.0 DATATRAVELER SE9,
26174043,WASHINGMACHINES,W2859ILWPM D ED VOLLWASCHAUTOMAT,MIELE
66679125,WASHINGMACHINES,SIEMENS WM14Y74D,SIEMENS-ELECTROGER?TE GMBH
62233808,CONTACT LENSES,1-DAY ACUVUE90 STÜCKUNISEX,J&J
62236141,CONTACT LENSES,BIOMEDICS 1 DAY EXTRA90 STÜCKUNISEX,COOPER
72383517,CONTACT LENSES,CONTACTLINSEN COOPER VISION EYE²OXYPLUS1DMF,COOPER VISION
28963152,WASHINGMACHINES,WA SENS XXL 824,BAUKNECHT
67497827,BICYCLES,BESTANDSARTIKEL SUMME7613317366658,SCOTT SPORTS AG
37714621,BICYCLES,"CORRATEC X-VERT HALCON 650B 27,5 BLACK GLOSSY/VIPER GREEN/WHITE",CORRATEC
42314091,BICYCLES,FUJI FEATHER RED 52 CM,FUJI
22579690,WASHINGMACHINES,LAVAMAT 77489 PFL WASCHMASCHINE A+++ 8KG,AEG
24374511,WASHINGMACHINES,"EINBAUWASCHMASCHINE WMI71443PTE WMI71443PTE FUELLMENGE 7KG,VOLLINT.|| 16 PROGR.,WATERSAFE,MENGENAUTOMATIK  5041640",BEKO DEUTSCHLAND GMBH
65560827,USB MEMORY,USB  128GB DATATRAV DT50  U3 KIN  PCK:35190 PEH:0 MEH:ST,KINGSTON
24550411,WASHINGMACHINES,"WASCHVOLLAUTOMAT OMV510A+ OMV510A+|| EEK:A+, 1000 U/MIN, 5KG KAPAZITAET  5043487",VESTEL GERMANY GMBH
52069471,WASHINGMACHINES,LAVAMAT L 76685 WD  ,AEG
19564393,CONTACT LENSES,"ACUVUE OASYS FOR ASTIGMATISM 2-WOCHENLINSEN WEICH, 6 STUECK / BC 8.6 MM / DIA 14.5 / CYL -2.25 / ACHSE 160 / -4.75 DIOPTRIEN",ACUVUE
65809621,USB MEMORY,SANDISK ULTRA USB 3.0256GB,SANDISK
66481881,USB MEMORY,"KINGSTON USB 3.0 MEMORY STICK DATATRAVELER G4, 16 GB, WEISS/BLAU",KINGSTON
30910697,USB MEMORY,USB-STICK MINI 2.0 KAP.8GB MEDIARANGE,ALKA
42311960,BICYCLES,MERIDA BIG NINETY-NINE LITE XT MATTSCHWARZ 51 CM,MERIDA
62235943,CONTACT LENSES,CONTACT DAY 30 TORIC6 STÜCKUNISEX,WOEHLKZEIS
52640349,USB MEMORY,TOSHIBA 32GB USB3.0TRANSMEMORY BLAU,
20399868,WASHINGMACHINES,BOSCH WAW32541 SERIE 8 WASCHMASCHINE FL / A+++ / 196 KWH/JAHR / 1551 UPM / 8 KG / ACTIVEWATER PLUS / ECOSILENCE DRIVE / WEISS,BOSCH
64615583,USB MEMORY,USB 3.0 - 64GB -SECURE DATA DRIVE USB 3.0 - 64GB -SECURE DATA DRIVE,CONSUMABILI VERBATIM
30963143,USB MEMORY,"USB-STICK EMTEC TAKE IT EASY, 8 GB 100X, BIS 15 MB/S, SMILEY WORLD",
65469279,USB MEMORY,USB-STICK  8GB TRANSCEND JETFLASH 350 SCHWARZ,TRANSCEND
21113760,USB MEMORY,SanDisk Cruzer Force 16GB,sandisk
62215175,CONTACT LENSES,1-DAY ACUVUE MOIST ASTIGMATISM90 STÜCKUNISEX,J&J
37719623,BICYCLES,VOTEC VRX-C COMP - CYCLOCROSS - BLACK MATT/BLACK GLOSSY,VOTEC
62226494,CONTACT LENSES,PROCLEAR TORIC6 STÜCKUNISEX,COOPER
67117708,BICYCLES,683044  MTB 26 MTB 26 WEISS 53,
37749052,BICYCLES,S'COOL NIXE 12 VIOLETT,S'COOL
65709689,USB MEMORY,VERBATIM STORE N GO V332GB,VERBATIM
52338167,BICYCLES,4856 RC-MODUL SET PLUS,GEOBRA-BRANDSTAETT.STIFT.
62309148,USB MEMORY,USB-STICK 64GB VERBATIM 3.0 STORE N GO BLACK,VERBATIM
23692033,WASHINGMACHINES,"WM14N0A1 WEISS  WASCHMASCHINE, 7 KG FUELLMENGE, SCHLEUDERDREHZAHL U/MIN: MAXIMAL 1.400, TOUCH-CONTROL-BEDIENUNG, ENDZEITVORWAHL, NACHLEGEFUNKTION, LED-DISPLAY, PROGRAMMABLAUFANZEIGE, RESTZEITANZEIGE, PROGRAMME UND OPTIONEN: FEIN/SEIDE, VARIOPERFECT (SPART ZEIT ODER ENERGIE), WOLLE/HANDWAESCHE, BELADUNGSERKENNUNG, M WM14N0A1",SIEMENS
40738848,USB MEMORY,LUEFTER ARCTIC 80*80*25 F8,ARCTIC
25792306,WASHINGMACHINES,WM14N090 A+++ / 6KG,SIEMENS-HAUSGERAETE
26413153,WASHINGMACHINES,L 76479 WFL  LEISTUNGSEIGENSCHAFTEN  - ANSCHLUSSWERT: 2.2 KW  - DAUER DES NICHT-AUS-ZUSTAN,AEG
22294875,WASHINGMACHINES,"WASCHVOLLAUTOMAT, VOLLINTEGRIERT",
17727122,WASHINGMACHINES,AEG L82470BI EINBAU-WASCHMASCHINE / A+++ / 1400 UPM / 7 KG / WEISS / KNITTERSCHUTZ / AQUASTOP,AEG
18414749,CONTACT LENSES,"AIR OPTIX FOR ASTIGMATISM TORISCHE MONATSLINSEN WEICH, 6 STUECK / BC 8.7 MM / DIA 14.5 / CYL -0,75 / ACHSE 10 / -5,25 DIOPTRIEN",ALCON
62220075,CONTACT LENSES,PUREVISION 2HD FOR ASTIGMATISM6 STÜCKUNISEX,B&L
62207639,CONTACT LENSES,CONTACT DAY 30 COLOURS2 STÜCKUNISEX,WOEHLKZEIS
63867518,USB MEMORY,__USB STICK STARWARS KYLO REN 16GB,SONSTIGES
62212168,CONTACT LENSES,AIR OPTIX COLORS2 STÜCKUNISEX,CIBA
28772616,WASHINGMACHINES,BOSCH WOT 20297 TOPLADER 7KG A+++ BOSCHWOT20297,ROBERT BOSCH HAUSGERAETE GMBH
42330918,BICYCLES,BERGAMONT VITOX 5.0 PEARLWHITE/RED/BLUE 37 CM,BERGAMONT
62113553,USB MEMORY,"SLIDER USB 2.0 DRIVE 16GB SLIDER USB 2.0 DRIVE 16GB 16GB, USB 2.0, 10MB/SEC",VR
64628527,USB MEMORY,PENDRIVE 16GB BULK SERIGRAFABILE S PENDRIVE 16GB BULK SERIGRAFABILE S,NILOX STORAGE
66970642,BICYCLES,417953  BMX 20 BMX 20 SILBER-GRUEN 28,
25758473,WASHINGMACHINES,WMY 81643 PTLE  EEK: A+++ 8 KG  1600 TOUREN  WEISS,BEKO
49438568,WASHINGMACHINES,112 WASCHVOLLAUTOMAT L63470FL AEG  ST 0001 0 18294 20160910,
